order_id,product_name,category,quantity,unit_price,total_revenue,order_date,customer_country,returned
1001,Wireless Headphones,Electronics,2,89.99,179.98,2024-01-05,Germany,false
1002,Running Shoes,Sports,1,129.99,129.99,2024-01-07,France,false
1003,Coffee Maker,Kitchen,1,74.99,74.99,2024-01-09,Germany,true
1004,Yoga Mat,Sports,3,35.00,105.00,2024-01-12,Italy,false
1005,Bluetooth Speaker,Electronics,1,59.99,59.99,2024-01-14,Spain,false
1006,Desk Lamp,Home,2,29.99,59.98,2024-01-15,Germany,false
1007,Protein Powder,Health,2,49.99,99.98,2024-01-18,France,false
1008,Laptop Stand,Electronics,1,39.99,39.99,2024-01-20,Germany,true
1009,Water Bottle,Sports,4,19.99,79.96,2024-01-22,Italy,false
1010,Air Purifier,Home,1,199.99,199.99,2024-01-25,Spain,false
1011,Gaming Mouse,Electronics,1,69.99,69.99,2024-02-01,Germany,false
1012,Resistance Bands,Sports,2,24.99,49.98,2024-02-03,France,false
1013,Toaster,Kitchen,1,44.99,44.99,2024-02-06,Germany,false
1014,Noise Cancelling Earbuds,Electronics,2,119.99,239.98,2024-02-08,Italy,false
1015,Foam Roller,Sports,1,29.99,29.99,2024-02-10,Spain,true
1016,Smart Watch,Electronics,1,249.99,249.99,2024-02-13,Germany,false
1017,Jump Rope,Sports,3,14.99,44.97,2024-02-15,France,false
1018,Blender,Kitchen,1,89.99,89.99,2024-02-18,Germany,true
1019,Desk Chair,Home,1,299.99,299.99,2024-02-20,Italy,false
1020,Vitamin D Supplements,Health,3,19.99,59.97,2024-02-22,Spain,false
1021,Mechanical Keyboard,Electronics,1,159.99,159.99,2024-03-01,Germany,false
1022,Tennis Racket,Sports,1,89.99,89.99,2024-03-04,France,false
1023,Rice Cooker,Kitchen,1,59.99,59.99,2024-03-07,Germany,false
1024,Floor Lamp,Home,2,69.99,139.98,2024-03-09,Italy,false
1025,Omega-3 Capsules,Health,2,24.99,49.98,2024-03-12,Spain,false
